Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Magonia pubescensA.St.-Hil.	Tingui, Tingui-capeta, Tingui-de-lavar, Timbó, Tangui, Timbopeba, Timbó-de-árvore, Tingui-de-árvore, Tingui-de-bola, Lombrigueiro	Magonia glabrata A.St.-Hil.	Sapindaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Mata Seca	BA, CE, DF, GO, MA, MG, MS, MT, PI, RO, SP, TO	Cerrado - set-nov ; Pantanal -  set a nov	Colher os frutos diretamente na árvore quando estiverem bem secos e iniciar a abertura espontânea e liberação das sementes aladas. Levar ao sol para completar a abertura e liberação das sementes.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	447 a 550	De um a dois anos em câmara fria.	Direta em recipientes individuais	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jul-set ; Pantanal -  set-ago	Cerrado - ago-nov ; Pantanal -  Fruto fica pendurado durante meses, abrindo no final da seca (Pott & Pott, 1994)	Artesanal, Forrageiro, Madeireiro, Medicinal, Melífero, Oleaginoso, Ornamental, Resina, Repelente, Toxico Para Animais	SIM	Abelhas, besouros	Anemocoria (vento)
Manilkara bidentata subsp. surinamensis(Miq.) T.D.Penn.	Maparajuba, Maçaranduba	Manilkara bidentata subsp. surinamensis (Miq.) T.D.Penn.	Sapotaceae	Amazônia	Florestal, Savânica	Campinarana, Restinga, Terra Firme	AC, AM, AP, PA, RR	fev-mar	Os frutos devem ser colhidos diretamente da árvore quando maduros ou no chão. Em seguida, deixá-los em saco plástico durante alguns dias para decomposição parcial da polpa. Isso facilita a despolpa em água corrente com auxílio de peneira para retirada das sementes.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	2200	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	jun-set	fev-mar		NÃO	Abelhas, sirfideos	Zoocoria (Fauna)
Manilkara elata(Allemão ex Miq.) Monach.	Maçaranduba, Maçaranduba-balata, Maçaranduba-da-terra-firme, Maçaranduba-mansa, Maçarandubinha	Manilkara huberi (Ducke) A.Chev., Mimusops huberi Ducke, Manilkara elata (Allemão ex Miq.) Monach	Sapotaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AM, AP, MA, MT, PA, RO, RR	jan-mar	Os frutos devem ser colhidos diretamente da árvore, quando maduros. Em seguida devem ser abertos manualmente e despolpados em água corrente com auxílio de peneira para retirada de sementes. As sementes apresentam dormência.	< 10% (ruim)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	1650	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento		**Amazônia S01	Árvore (> 3 metros)	mai-set	jul-mar	Alimentício, Latex, Madeireiro	NÃO	Abelhas, sirfideos	Zoocoria (Fauna)
Maprounea guianensis(Aubl.) Mull. Arg.	Carambola-da-mata, Bonifácio, Vaquinha, Marmeleiro-do-campo, Marmelinho-do-campo, Milho-torrado	Aegopricum betulinum L., Maprounea guianensis var. genuina Müll.Arg., Excoecaria guianensis (Aubl.) Baill., Stillingia guianensis (Aubl.) Baill.	Euphorbiaceae	Cerrado	Florestal, Savânica	Cerrado Típico, Cerradão, Mata Ciliar, Mata de Galeria	AC, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PE, PR, RJ, RO, RR, SP	Cerrado - set-fev	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida, deixá-los em local ventilado para completarem sua abertura e a liberação das sementes que devem ser colocadas para germinação após esses procedimentos.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	8000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-out	Cerrado - set-out	Alimentício, Madeireiro, Medicinal, Ornamental, Tintorial, Toxico Para Animais	NÃO	Moscas	Zoocoria (Fauna)
Marcetia taxifolia(A.St.-Hil.) DC.		Marcetia andicola Naudin, Marcetia cinerea (Mart. e DC.) Triana, Marcetia cordigera Mart.& Schr. ex DC., Marcetia cordigera var. andicola (Naud.) Cogn, Marcetia decussata sensu Maund, Marcetia decussata Mart & Schr. ex DC., Marcetia denudata Naudin, Marcetia disticha Cogn., Marcetia excoriata Mart. & Scr. ex DC., Marcetia fastigiata Cogn., Marcetia fastigiata var. imbricata Cogn., Marcetia gardneri Cogn., Marcetia glandulosa DC., Marcetia glazioviana Cogn., Marcetia hirsuta Cogn., Marcetia juniperina (Humboldt ex Spreng.) DC., Marcetia pubescens DC., Marcetia schenckii Cogn., Marcetia tamariscina Schr.& Mart. ex DC., Marcetia taxifolia var. cinerea Mart. ex DC., Marcetia taxifolia var. decumbens Cogn., Marcetia taxifolia var. glabrescens Cogn., Marcetia taxifolia var. glandulosa (DC.) Cogn., Marcetia taxifolia var. latifolia Mart., Marcetia taxifolia var. pubescens (DC.) Cogn, Marcetia tenuifolia Mart. ex DC.	Melastomataceae	Cerrado	Campestre	Campo Rupestre	AL, BA, CE, DF, ES, MG, PB, PE, PR, RJ, RR, SE, SP	Cerrado - nov		20 a 49% (regular)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Arbusto	Cerrado - set	Cerrado - out-nov		NÃO	Abelhas	Autocoria
Matayba elaeagnoidesRadlk.	Cuvantã, Mataiba, Miguel-pintado, Pau-de-pombo, Camboatá-branco, Em MT, Cangoatã-branco, Em MG: Camboatá, Cambuatá-branco, Caqui-do-mato, Cragoatã-branco, Marinheirinho E Pau-crioulo, No PR: Camboatá, Covantã, Miguel-pintado E Pingaleiro, No RS, Camboatá E Camboatá-branco, Em SC, Camboatá, Em SP, Camboatá, Camboatá-branco, Caqui-do-mato, Cuvantã, Pau-crioulo, Pau-pomba.	Matayba pallens, Radlk.	Sapindaceae	Mata Atlântica, Pampa	Florestal, Savânica	Floresta Estacional, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Ciliar, Vegetaçao Savanóide	MG, MS, MT, PR, RS, SE, SP	Mata Atlântica - jan - fev	Colher os frutos após a abertura espontânea, levá-los ao sol para completar a abertura e liberação das sementes. Não há necessidade de retirar o arilo que recobre a semente.	50 a 80% (boa)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	3250	Não devem ser armazenadas, pois são recalcitrantes. Se o armazenamento for necessário ele deve ser curto.	Direta em recipientes individuais		INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Lento (até 30 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - set - nov; Pampa - out-dez	Mata Atlântica - dez - jan; Pampa - dez-fev	Latex, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Abelhas	Zoocoria (Fauna)
Matayba guianensisAubl.	Pau-de-espeto, Camboatá, Camboatã, Camboatá-branco, Mataíba, Batabaíba, Cuvantã, Jatuá-uba, Jatuá-iba, Atou-aou, Tou-aou	Talisia prancei Guarim	Sapindaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Mata Ciliar, Mata Ripária, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PR, RJ, RO, RS, SC, SP, TO	Cerrado - jan-mar ; Pantanal -  jan-mar	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea e exposição das sementes com arilo. Em seguida, deixá-los em local arejado para completarem sua abertura e a liberação das sementes. Não há necessidade de remover o arilo branco antes da semeadura, apenas deixar secar um pouco.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	2200 a 4800	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - out-dez ; Pantanal -  out-dez	Cerrado - jan-mar ; Pantanal -  jan-mar	Artesanal, Forrageiro, Madeireiro, Melífero, Ornamental	SIM	Abelhas, besouros	Zoocoria (fauna)
Matayba inelegansSpruce ex Radlk.	Simateca	Matayba sororopaniana Steyerm.	Sapindaceae	Amazônia	Florestal, Savânica	Campinarana, Mata de Várzea, Terra Firme	AC, AM, MT, PA	set-jan	Colher os frutos diretamente na árvore logo que iniciar a abertura espontânea dos frutos. Deixar secar à sombra para completar a abertura e liberação das sementes. As sementes devem ser postas para germinar logo após a colheita.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)		Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	jun-ago	ago-jan		SIM	Abelhas	Zoocoria (Fauna)
Mauritia flexuosaL. f.	Buriti		Arecaceae	Amazônia, Cerrado, Pantanal	Campestre, Florestal, Savânica	Campo Inundável, Mata Ciliar, Mata Ripária, Mata de Galeria, Mata de Várzea, Palmeiral, Vereda	AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO	Cerrado - jul-fev ; Pantanal -  nov-jan; Amazônia - jan-jul	Os frutos devem ser colhidos logo que iniciar a queda espontânea ou obter coloração acinzentada. Colocar em um recipiente de água com hipoclorido a 1% até amolecimento da polpa e fazer a despolpa a mão.	50 a 80% (boa)	"


T4 Floresta (MDF = MAL DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	70	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P4=> MDF: espécies de zonas ripárias (Ex.: Protium heptaphyllum, Mauritia flexuosa)	Palmeira	Cerrado - fev-set ; Pantanal -  jul-set; Amazônia - set-dez	Cerrado - jul-fev ; Pantanal -  ago-jan; Amazônia - jan-jul	Alimentício, Artesanal, Aromático, Cosmético, Fibra, Madeireiro, Medicinal, Oleaginoso, Ornamental, Tintorial	NÃO	Vento, besouros	Zoocoria (Fauna)
Mauritiella armata(Mart.) Burret	Buritirana	Mauritia aculeata Mart., Mauritiella martiana (Spruce) Bureau	Arecaceae	Amazônia	Florestal, Savânica	Campinarana, Mata Ciliar, Savana	AC, AM, BA, GO, MA, MT, PA, PE, PI, RO, RR, TO	ago-dez	Os frutos devem ser colhidos logo que iniciar a queda espontânea ou obter coloração acinzentada. Colocar em um recipiente de água com hipoclorido a 1% até amolecimento da polpa e fazer a despolpa a mão.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	200	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	**Amazônia S01	Palmeira	jan-jun	ago-dez	Alimentício	NÃO	Vento	Zoocoria (Fauna)
Maytenus cassineformisReissek	Coração-de-bugre		Celastraceae	Pampa	Florestal, Savânica	Floresta Estacional, Mata Ciliar, Restinga, Vegetaçao Savanóide	RS, SC				"




																
								[Saiba mais]
								
								



"							Diversidade			Árvore (> 3 metros)					insetos	Zoocoria (fauna)
Maytenus ilicifoliaMart. ex Reissek	Espinheira-santa, Cancerosa	Maytenus muelleri Schwacke, Maytenus officinalis Mabb.	Celastraceae	Mata Atlântica	Florestal	Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista	MS, MT, PR, RS, SE, SP	Mata Atlântica - Ago - Out(SP); Out - Set (RS); Dez - Out (PR); Out (MS).	Esfregar a polpa para facilitar a retirada da semente através de lavagem em água.	20 a 49% (regular)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	3200	Em câmara fria (5°C e 85% UR) ou em câmara seca (15°C e 45% UR).	Indireta em sementeira		SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)		Subarbusto	Mata Atlântica - Set - Set (RS); Ago -  Out (MS, PR).	Mata Atlântica - out - nov	Madeireiro, Ornamental	NÃO	Vespas, moscas	Zoocoria (Fauna)
Maytenus rigidaMart.	Bom-homem, Bom-nome, Bonome, Cabelo-de-negro, Casca-grossa, Pau-de-colher.¹		Celastraceae	Caatinga	Florestal, Savânica	Caatinga Arborea, Caatinga Arbustiva	AL, BA, CE, GO, MG, PB, PE, PI, RN, SE	ago - dez	Colher os frutos diretamente da árvore quando se iniciar a abertura espontânea. Em seguida, deixá-los secar à sombra para completarem sua abertura e facilitar a retirada manual das sementes. Antes da semeadura, recomenda-se fazer uma seleção para eliminar as sementes visivelmente danificadas.		"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	20000		Direta em recipientes individuais	75%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	mai - out	ago - dez	Madeireiro, Medicinal, Melífero	NÃO	Abelhas	Zoocoria (Fauna)
Mesosetum chaseaeLuces	Grama-do-cerrado	Mesosetum cardonum Luces, Mesosetum stoloniferum Swallen.	Poaceae	Cerrado, Pantanal	Campestre, Savânica	Campo Inundável, Campo Rupestre, Campo não Inundável, Cerrado Típico	BA, MG, MS, MT, RR	Pantanal -  fev a mar (Silva, 2008)	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	20 a 49% (regular)	"




																
								[Saiba mais]
								
								



"			Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Recobrimento			Erva		Pantanal -  fev a mar (Silva, 2008)	Forrageiro	NÃO	Vento	Autocoria
Mesosetum loliiforme(Hochst.) Chase	Capim-canivete	Mesosetum acuminatum Swallen, Mesosetum altum Swallen, Mesosetum curtifolium Swallen, Mesosetum elongatum Mez, Mesosetum latifolium Swallen, Mesosetum longifolium Swallen, Mesosetum pubescens Swallen, Mesosetum tenuifolium Swallen	Poaceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre, Campo Sujo	AC, AM, AP, BA, CE, DF, GO, MA, MG, MS, MT, PA, PB, PI, RN, RO, RR, SE, TO	Cerrado - nov-abr	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	50 a 80% (boa)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - nov-abr	Cerrado - nov-abr	Forrageiro	NÃO	Vento	Anemocoria (vento)
Metrodorea stipularisMart.	Chupa-ferro, Caputuna, Caputuva, Cataguaí, Laranjeira-do-mato, Limoeiro-do-mato		Rutaceae	Cerrado	Florestal	Mata Seca, Mata de Galeria	DF, GO, MG, MT, PR, RJ, SP	Cerrado - jun-jul	Colher os frutos diretamente da árvore quando iniciarem a abertura e liberação espontanea das sementes. Em seguida deixá-los ao sol para completar abertura e liberação das sementes.		"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"		13500	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - nov-jan	Cerrado - jun-jul	Forrageiro, Madeireiro, Ornamental	NÃO	Abelhas, moscas	Autocoria
Mezilaurus itauba(Meissn.) Taub.ex Mez	Itaúba, Itaúba-amarela, Itaúba-preta, Itaúba-abacate, Lorê	Acrodiclidium itauba Meisn., Acrodiclidium itauba var. amarella Meisn., Mezilaurus anacardioides (Spruce ex Meisn.) Taub. ex Mez, Oreodaphne hookeriana Meisn., Silvia polyantha Mez, Silvia rondonii Mez & Hoehne, Endiandra itauba (Meisn.) Benth., Mezia itauba (Meisn.) Kuntze, Silvia itauba (Meisn.) Pax	Lauraceae	Amazônia	Florestal	Mata Ciliar, Mata de Várzea, Terra Firme	AC, AM, AP, MT, PA, RO, RR	jun-ago	Os frutos devem ser colhidos diretamente da árvore, quando maduros. Em seguida, deixá-los em saco plástico durante alguns dias para decomposição parcial da polpa. Isso facilita a despolpa em água corrente com auxílio de peneira para retirada da semente.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	480	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	mar-abr	jun-ago	Madeireiro	NÃO	Abelhas	Zoocoria (Fauna)
Miconia albicans(Sw.) Triana	Folha-Branca, Pixirica	Melastoma albicans Sw., Miconia heterochroa Miq.	Melastomataceae	Cerrado, Pantanal	Campestre, Florestal, Savânica	Campo Rupestre, Campo Sujo, Campo de Altitude (morraria), Campo não Inundável, Cerrado Típico, Cerradão, Parque de Cerrado, Vereda	AC, AL, AM, AP, BA, CE, DF, ES, GO, MG, MS, MT, PA, PE, PI, PR, RJ, RN, RO, RR, SE, SP, TO	Cerrado - out-dez ; Pantanal -  dez-jan	Colher os frutos diretamente na árvore quando maduros com coloração verde clara. Remover a polpa dos frutos com peneira fina em água corrente para separar as pequenas sementes. Após, as sementes estarão prontas para semeadura.	20 a 49% (regular)	"


T4 Floresta (MDF = MAL DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	2500000	Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Recobrimento	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - set-out ; Pantanal -  ago a nov (Pott & Pott, 1994)	Cerrado - out-dez ; Pantanal -  set-nov		NÃO	Abelhas	Zoocoria (fauna)
